2023-05-17 22:18:50 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 4252
2023-05-17 22:18:50 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-05-17 22:18:50 0 [Note] InnoDB: Uses event mutexes
2023-05-17 22:18:50 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-05-17 22:18:50 0 [Note] InnoDB: Number of pools: 1
2023-05-17 22:18:50 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-05-17 22:18:50 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2023-05-17 22:18:50 0 [Note] InnoDB: Completed initialization of buffer pool
2023-05-17 22:18:51 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2023-05-17 22:18:51 0 [Note] InnoDB: 128 out of 128 rollback segments are active.
2023-05-17 22:18:51 0 [Note] InnoDB: Removed temporary tablespace data file: "ibtmp1"
2023-05-17 22:18:51 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2023-05-17 22:18:51 0 [Note] InnoDB: Setting file 'C:\xampp\mysql\data\ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2023-05-17 22:18:51 0 [Note] InnoDB: File 'C:\xampp\mysql\data\ibtmp1' size is now 12 MB.
2023-05-17 22:18:51 0 [Note] InnoDB: Waiting for purge to start
2023-05-17 22:18:51 0 [Note] InnoDB: 10.4.28 started; log sequence number 300297; transaction id 170
2023-05-17 22:18:51 0 [Note] InnoDB: Loading buffer pool(s) from C:\xampp\mysql\data\ib_buffer_pool
2023-05-17 22:18:51 0 [Note] Plugin 'FEEDBACK' is disabled.
2023-05-17 22:18:51 0 [Note] InnoDB: Buffer pool(s) load completed at 230517 22:18:51
2023-05-17 22:18:51 0 [Note] Server socket created on IP: '::'.
2023-05-17 22:19:19 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 18252
2023-05-17 22:19:19 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-05-17 22:19:19 0 [Note] InnoDB: Uses event mutexes
2023-05-17 22:19:19 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-05-17 22:19:19 0 [Note] InnoDB: Number of pools: 1
2023-05-17 22:19:19 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-05-17 22:19:19 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2023-05-17 22:19:19 0 [Note] InnoDB: Completed initialization of buffer pool
2023-05-17 22:19:19 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300306
2023-05-17 22:19:19 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300306, less than the log sequence number in the first system tablespace file header, 300565.
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=245] with future log sequence number 10834472
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=244] with future log sequence number 10834427
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=243] with future log sequence number 10834398
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=47] with future log sequence number 10854697
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=344] with future log sequence number 10854697
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=186] with future log sequence number 10832090
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=132] with future log sequence number 10831915
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=131] with future log sequence number 10831867
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=95] with future log sequence number 10831552
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=94] with future log sequence number 10831415
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=93] with future log sequence number 10831389
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=92] with future log sequence number 10831347
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=91] with future log sequence number 10831321
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=90] with future log sequence number 10831295
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=89] with future log sequence number 10831269
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=88] with future log sequence number 10831243
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=87] with future log sequence number 10831217
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=86] with future log sequence number 10831191
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=85] with future log sequence number 10831165
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=84] with future log sequence number 10831139
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=83] with future log sequence number 10831113
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=239] with future log sequence number 12474474
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 12474185
2023-05-17 22:19:19 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=237] with future log sequence number 12469578
